date,spend,sales,installation
2022-01-01,39743.90741635802,225.0,0.0
2022-01-02,39160.91794735802,199.0,0.0
2022-01-03,62458.90596748062,142.0,0.0
2022-01-04,88295.00498501382,129.0,0.0
2022-01-05,99795.16118488033,182.0,0.0
2022-01-06,109216.61670806022,279.0,0.0
2022-01-07,113995.96900503231,2117.0,0.0
2022-01-08,96087.00890485612,506.0,0.0
2022-01-09,89387.46018790803,716.0,0.0
2022-01-10,39995.364652358025,471.0,0.0
2022-01-11,39815.98754935802,434.0,0.0
2022-01-12,50015.53105335802,435.0,0.0
2022-01-13,80717.07291835803,460.0,0.0
2022-01-14,193083.21459812275,1388.0,0.0
2022-01-15,193927.45144312276,23815.0,0.0
2022-01-16,105763.72580812275,331.0,0.0
2022-01-17,163035.37931618703,152.0,0.0
2022-01-18,162457.53992507013,160.0,0.0
2022-01-19,152447.10745348304,146.0,0.0
2022-01-20,148487.88388756753,149.0,0.0
2022-01-21,154164.50149293113,185.0,0.0
2022-01-22,162077.50107621134,357.0,0.0
2022-01-23,159990.57777844425,1057.0,0.0
2022-01-24,153594.33699981245,160.0,0.0
2022-01-25,168988.73229038005,154.0,0.0
2022-01-26,172089.53353804233,160.0,0.0
2022-01-27,167325.31546564522,155.0,0.0
2022-01-28,159444.64306154064,504.0,0.0
2022-01-29,160543.21432800833,411.0,0.0
2022-01-30,156006.42845685713,289.0,0.0
2022-01-31,42764.06796349582,123.0,0.0
2022-02-01,61660.041878358024,198.0,5994.0
2022-02-02,95010.4906601279,215.0,6821.0
2022-02-03,117217.72412851293,315.0,9683.0
2022-02-04,117905.96548535801,351.0,10085.0
2022-02-05,119363.82479735803,1914.0,28741.0
2022-02-06,41862.980238358025,498.0,13696.0
2022-02-07,36887.57415335802,148.0,6226.0
2022-02-08,38017.31198835802,119.0,6490.0
2022-02-09,37496.560385358025,142.0,6189.0
2022-02-10,39631.443392798625,188.0,6810.0
2022-02-11,59073.724607558135,256.0,8155.0
2022-02-12,66587.42869547122,938.0,14616.0
2022-02-13,90090.81458709053,272.0,9056.0
2022-02-14,321857.6456302482,179.0,7062.0
2022-02-15,331019.58273254323,328.0,12010.0
2022-02-16,335605.37327376707,500.0,10016.0
2022-02-17,349647.5767921174,8116.0,53764.0
2022-02-18,290792.64133931766,202.0,8096.0
2022-02-19,309628.2105310825,303.0,9534.0
2022-02-20,309954.83315206907,780.0,16656.0
2022-02-21,459672.8711155355,182.0,9236.0
2022-02-22,492962.90340326907,228.0,9345.0
2022-02-23,496971.483632243,284.0,9728.0
2022-02-24,495686.7601269984,3795.0,29020.0
2022-02-25,401789.54664923885,554.0,9051.0
2022-02-26,482987.0997875375,9919.0,44432.0
2022-02-27,211078.87041692116,296.0,8946.0
2022-02-28,198001.64332331915,89.0,5142.0
2022-03-01,201953.43770005193,117.0,6117.0
2022-03-02,206690.88565735923,102.0,6428.0
2022-03-03,202019.47366484714,149.0,5871.0
2022-03-04,200670.38680603373,164.0,6828.0
2022-03-05,216460.18581301725,648.0,13271.0
2022-03-06,204373.07982817641,238.0,8897.0
2022-03-07,110579.89062082992,115.0,5747.0
2022-03-08,125379.539361399,156.0,7433.0
2022-03-09,125482.66257993883,250.0,7281.0
2022-03-10,137721.37378661623,2285.0,21821.0
2022-03-11,44893.19428474872,168.0,5588.0
2022-03-12,51423.68455981792,545.0,10320.0
2022-03-13,45481.51545261912,193.0,6435.0
2022-03-14,43205.190163579624,117.0,4164.0
2022-03-15,44521.088615146116,132.0,4064.0
2022-03-16,147980.69701820446,213.0,4706.0
2022-03-17,51156.897212256124,1709.0,19336.0
2022-03-18,111985.84176918762,364.0,8997.0
2022-03-19,193708.13860192263,7532.0,39567.0
2022-03-20,60080.662858437325,268.0,9647.0
2022-03-21,83926.59010649403,96.0,5842.0
2022-03-22,79464.06933264983,70.0,5769.0
2022-03-23,70180.55530512083,77.0,5405.0
2022-03-24,73202.98833185672,100.0,4981.0
2022-03-25,71930.96835319782,104.0,5435.0
2022-03-26,96896.17158744193,122.0,6931.0
2022-03-27,70468.79645242731,118.0,5969.0
2022-03-28,65977.99711074332,68.0,5065.0
2022-03-29,63781.34098512931,96.0,6163.0
2022-03-30,33850.36763901902,81.0,4631.0
2022-03-31,34637.20423915322,130.0,5027.0
2022-04-01,35313.672454386215,192.0,4682.0
2022-04-02,40573.52077268731,854.0,10458.0
2022-04-03,36594.37969118581,175.0,5892.0
2022-04-04,128315.23516708742,95.0,4573.0
2022-04-05,187374.7541329472,145.0,5748.0
2022-04-06,187117.3943808121,198.0,6218.0
2022-04-07,200426.13312150442,3170.0,27257.0
2022-04-08,120690.17735961861,202.0,10529.0
2022-04-09,127609.47947003982,578.0,14430.0
2022-04-10,125724.41837007021,275.0,11726.0
